n_ocupacao,media_MSE,var_MSE,DP_MSE
0,1.7521898023928433,0.0016651774855504415,0.040806586301116166
10,377.99078819650845,2949.579570778814,54.31003195339526
20,902.4359632995915,2728.3233181165674,52.233354459737384
30,1617.7426452422421,3793.3551623878784,61.59021969751267
40,2523.260064762576,4345.120735414714,65.91752980364717
50,3603.0813346340497,4820.243161459763,69.42797103084435
60,4886.171569318713,17023.979514611958,130.47597293989404
70,6327.728820902426,14406.349573145215,120.02645363895917
80,7977.374182164423,17219.807464211273,131.2242640071236
90,9785.758256014167,17336.47502563325,131.6680486132959
100,11837.426601250312,289282.1946322887,537.8496022423822
