n_ocupacao,media_EME,var_EME,DP_EME
10,-12.209696535795677,1.2220693059894712,1.1054724356534047
20,-13.902098054083904,3.1049024926459685,1.7620733505294177
30,-12.435485926865342,1.0684550040136251,1.0336609715054665
40,-10.687352906793159,2.9896536004414638,1.7290614796592583
50,-8.900304970827019,1.262598443848148,1.1236540587957433
60,-7.5963768894930155,1.706129343033245,1.3061888619312465
70,-6.888219316696266,1.862526393091712,1.3647440760419927
80,-6.315310067226762,1.2819231496149732,1.1322204509789484
90,-6.2865826019998465,0.7021152055708221,0.8379231501580692
100,-6.167763018117281,0.5980612640413825,0.7733442079962728
