n_ocupacao,media_MSE,var_MSE,DP_MSE
10,3553.859559644594,114079.69024896061,337.7568507802034
20,4573.7959052718825,266002.77547465253,515.754569029352
30,4779.202171981181,148021.29054198664,384.7353513026671
40,4806.9651910781195,202540.88990058462,450.0454309295725
50,4587.558593640292,192338.56261671774,438.56420580881627
60,4455.377087351154,236708.87037748407,486.5273583031935
70,4368.85331860924,134376.31234665867,366.5737474869943
80,4463.612070595032,122354.64119491228,349.79228292647093
90,4470.816759210486,205336.7667195339,453.1410009252461
100,4535.2707487181215,162007.37084442461,402.5013923509143
