n_ocupacao,media_MSE,var_MSE,DP_MSE
10,759.8415718710178,33910.618098180064,184.14835893425732
20,1652.6568789931628,83386.96426197265,288.7680111473095
30,2249.413010448541,113273.0821159415,336.56066632323734
40,2760.8003285212926,68707.11008491907,262.1204114236796
50,3238.9896915256327,156937.64587164175,396.15356349734094
60,3738.5736496009335,556951.4378344927,746.2917913487275
70,3933.464798302689,144825.1419803202,380.55898620361097
80,4260.268465331052,113220.48445791812,336.4825173139284
90,4462.24936905475,105515.85242599467,324.8320372530928
100,4527.857561119444,46232.267358691744,215.0169001699442
