n_ocupacao,media_EME,var_EME,DP_EME
0,30.000646288667603,0.0001414865960718537,0.011894813830903522
10,7.498702116347103,4.8528745325723355,2.202924086883689
20,-14.52908918177787,1.4967399611965573,1.2234132422025508
30,-36.9795492166795,1.0843456980879767,1.0413192104671731
40,-59.45403456841587,2.0848270386050185,1.443893014944327
50,-81.79271519636839,1.480480249158184,1.2167498712382032
60,-104.24182496385967,2.435944255218997,1.5607511829945853
70,-126.53243350466705,1.9836311364957901,1.4084144051009242
80,-149.04317489771003,2.311838268053163,1.5204730408833835
90,-171.2235800462765,2.286862604838301,1.5122376152041388
100,-193.96570932492074,15.981470289664642,3.9976831152136914
