n_ocupacao,media_MSE,var_MSE,DP_MSE
0,900.1806716161663,0.5135559910795339,0.7166282097988704
10,532.8790938724248,591.4563214689765,24.319875029879913
20,1107.287432359048,7114.753126709157,84.34899600297064
30,2630.139915743354,24174.52532144008,155.4815915838273
40,5121.211451835068,30804.22397571187,175.51132150294998
50,8537.79233963044,45239.540662931395,212.69588774334918
60,12975.140500001762,187677.40361112545,433.2175015060281
70,18264.621572645272,201037.17640848318,448.3716944773423
80,24613.48123559799,245653.28688753842,495.63422691289026
90,31790.922539734252,316382.10815563524,562.4785401734321
100,40198.712052951254,4705059.328993034,2169.114872244675
